전용면적(㎡),보증금(만원),월세금(만원),건축년도,도로명,주택유형,lat,lon,cluster_label,학교까지도보시간(분),도보거리(m),대중교통시간(분),convenience_store_count,convenience_store_min_distance,subway_count,subway_min_distance,bank_count,bank_min_distance,hospital_count,hospital_min_distance,pharmacy_count,pharmacy_min_distance,school_count,school_min_distance,cafe_count,cafe_min_distance,restaurant_count,restaurant_min_distance,mart_count,mart_min_distance,parking_count,parking_min_distance,cluster,cluster_clean,cluster_name,전월세환산값,향,cctv_300m,lamp_300m,cctv_500m,lamp_500m,cctv_1000m,lamp_1000m,bus_count,nearby_bus_count(100m),nearby_bus_count(200m)
17.5,2300.0,37.95,2015.0,서그내로 43,다세대,37.24308982,127.074183,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,2990.0,서향,11,44,27,85,113,103,13.0,2,2
17.5,2300.0,37.95,2015.0,서그내로 43,다세대,37.24308982,127.074183,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,2990.0,서향,11,44,27,85,113,103,13.0,2,2
36.06,447.35,29.9,2019.0,서그내로62번길 35,다세대,37.242482,127.0682545,1,23,2176,21,2,40,0,,0,,0,,0,,0,,3,97,6,23.0,0,,0.0,,13.0,3.0,서그내로62번길 35,990.9863636363636,동향,11,28,38,44,131,101,15.0,0,2
27.68,4945.0,63.25,2022.0,서그내로 61,다세대,37.24216795,127.0724701,13,17,1727,18,3,39,0,,0,,0,,0,,1,112.0,7,28,15,107.0,0,,0.0,,11.0,1.0,서그내로 61,6095.0,Unknown,11,44,30,80,112,103,12.0,0,1
17.0,345.0,57.5,2015.0,서그내로62번길 42,다세대,37.24291591,127.067901,1,23,2176,21,2,40,0,,0,,0,,0,,0,,3,97,6,23.0,0,,0.0,,13.0,3.0,서그내로62번길 35,1390.4545454545455,동향,11,28,38,44,131,101,15.0,1,4
88.95,3450.0,177.1,2022.0,서그내로 61,다세대,37.24216795,127.0724701,13,17,1727,18,3,39,0,,0,,0,,0,,1,112.0,7,28,15,107.0,0,,0.0,,11.0,1.0,서그내로 61,6670.0,Unknown,11,44,30,80,112,103,12.0,0,1
23.05,4600.0,63.25,2022.0,서그내로 61,다세대,37.24216795,127.0724701,13,17,1727,18,3,39,0,,0,,0,,0,,1,112.0,7,28,15,107.0,0,,0.0,,11.0,1.0,서그내로 61,5750.0,Unknown,11,44,30,80,112,103,12.0,0,1
18.36,575.0,50.6,2015.0,서그내로62번길 33,다세대,37.24243355,127.0687739,1,23,2176,21,2,40,0,,0,,0,,0,,0,,3,97,6,23.0,0,,0.0,,13.0,3.0,서그내로62번길 35,1495.0,Unknown,11,28,38,44,131,101,15.0,0,2
15.39,1150.0,50.6,2018.0,서그내로53번길 33,다세대,37.24111925,127.070438,11,19,2195,20,1,106,0,,0,,0,,0,,0,,1,148,3,70.0,0,,0.0,,12.0,2.0,서그내로53번길 31,2070.0,Unknown,11,23,31,64,111,103,15.0,1,4
23.19,575.0,48.3,2015.0,서그내로62번길 33,다세대,37.24243355,127.0687739,1,23,2176,21,2,40,0,,0,,0,,0,,0,,3,97,6,23.0,0,,0.0,,13.0,3.0,서그내로62번길 35,1453.181818181818,Unknown,11,28,38,44,131,101,15.0,0,2
36.13,19550.0,0.0,2019.0,서그내로62번길 35,다세대,37.242482,127.0682545,1,23,2176,21,2,40,0,,0,,0,,0,,0,,3,97,6,23.0,0,,0.0,,13.0,3.0,서그내로62번길 35,19550.0,동향,11,28,38,44,131,101,15.0,0,2
36.05,20700.0,0.0,2024.0,예현로35번길 32,다세대,37.24137365,127.0662886,1,23,2168,21,2,40,0,,0,,0,,0,,0,,3,97,6,23.0,0,,0.0,,36.0,26.0,예현로35번길 32,20700.0,Unknown,13,11,31,29,138,90,12.0,2,4
21.715,1150.0,64.4,2014.0,서그내로 30,다세대,37.24457167,127.0738645,3,14,1704,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,14.0,4.0,서그내로 30,2320.909090909091,동향,14,45,37,82,133,102,12.0,1,4
21.715,1150.0,64.4,2014.0,서그내로 30,다세대,37.24457167,127.0738645,3,14,1704,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,14.0,4.0,서그내로 30,2320.909090909091,동향,14,45,37,82,133,102,12.0,1,4
29.98,4945.0,48.3,2022.0,서그내로 61,다세대,37.24216795,127.0724701,13,17,1727,18,3,39,0,,0,,0,,0,,1,112.0,7,28,15,107.0,0,,0.0,,11.0,1.0,서그내로 61,5823.181818181818,Unknown,11,44,30,80,112,103,12.0,0,1
16.48,4600.0,70.15,2022.0,덕영대로 1698,연립,37.24679011,127.0765128,14,14,833,11,3,27,0,,0,,0,,1,77.0,2,146.0,15,36,15,11.0,1,158.0,1.0,84.0,17.0,7.0,덕영대로 1698,5875.454545454546,Unknown,21,29,44,48,119,99,17.0,0,3
14.54,2300.0,69.0,2022.0,덕영대로 1698,연립,37.24679011,127.0765128,14,14,833,11,3,27,0,,0,,0,,1,77.0,2,146.0,15,36,15,11.0,1,158.0,1.0,84.0,17.0,7.0,덕영대로 1698,3554.5454545454545,Unknown,21,29,44,48,119,99,17.0,0,3
20.67,5750.0,55.2,2023.0,서그내로53번길 3-5,다세대,37.24231621,127.073921,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,6753.636363636364,서향,11,44,27,85,113,103,13.0,0,3
13.3,345.0,39.1,2012.0,서그내로16번길 27,다세대,37.245079,127.0705474,13,17,1632,18,3,39,0,,0,,0,,0,,1,112.0,7,28,15,107.0,0,,0.0,,37.0,27.0,서그내로16번길 27,1055.909090909091,동향,10,21,39,75,137,101,16.0,0,0
15.09,345.0,46.0,2012.0,서그내로 23-5,다세대,37.24559678,127.0744081,3,14,1485,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,15.0,5.0,서그내로 23-5,1181.3636363636365,서향,18,41,39,71,129,102,15.0,2,3
13.6,1150.0,57.5,2013.0,서그내로 46-2,다세대,37.24336243,127.0737232,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,2195.454545454545,서향,11,44,27,85,113,103,13.0,2,2
20.67,8050.0,49.45,2023.0,서그내로53번길 3-5,다세대,37.24231621,127.073921,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,8949.09090909091,서향,11,44,27,85,113,103,13.0,0,3
38.85,15697.5,0.0,2015.0,서그내로62번길 33,다세대,37.24243355,127.0687739,1,23,2176,21,2,40,0,,0,,0,,0,,0,,3,97,6,23.0,0,,0.0,,13.0,3.0,서그내로62번길 35,15697.5,Unknown,11,28,38,44,131,101,15.0,0,2
25.97,1150.0,60.95,2015.0,서그내로 43,다세대,37.24308982,127.074183,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,2258.181818181818,서향,11,44,27,85,113,103,13.0,2,2
13.42,345.0,37.95,2012.0,서그내로16번길 27,다세대,37.245079,127.0705474,13,17,1632,18,3,39,0,,0,,0,,0,,1,112.0,7,28,15,107.0,0,,0.0,,37.0,27.0,서그내로16번길 27,1035.0,동향,10,21,39,75,137,101,16.0,0,0
38.85,15697.5,0.0,2015.0,서그내로62번길 33,다세대,37.24243355,127.0687739,1,23,2176,21,2,40,0,,0,,0,,0,,0,,3,97,6,23.0,0,,0.0,,13.0,3.0,서그내로62번길 35,15697.5,Unknown,11,28,38,44,131,101,15.0,0,2
18.59,3450.0,69.0,2024.0,예현로35번길 32,다세대,37.24137365,127.0662886,1,23,2168,21,2,40,0,,0,,0,,0,,0,,3,97,6,23.0,0,,0.0,,36.0,26.0,예현로35번길 32,4704.545454545454,Unknown,13,11,31,29,138,90,12.0,2,4
17.5,1150.0,62.1,2015.0,서그내로 43,다세대,37.24308982,127.074183,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,2279.090909090909,서향,11,44,27,85,113,103,13.0,2,2
14.61,575.0,46.0,2014.0,서그내로53번길 3-7,다세대,37.24236467,127.0740844,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,1411.3636363636365,동향,11,44,27,85,113,103,13.0,0,4
38.85,11500.0,69.0,2023.0,서그내로53번길 40-1,다세대,37.24109643,127.0695717,11,19,2195,20,1,106,0,,0,,0,,0,,0,,1,148,3,70.0,0,,0.0,,12.0,2.0,서그내로53번길 31,12754.545454545454,Unknown,11,23,31,64,111,103,15.0,1,3
23.19,575.0,50.6,2015.0,서그내로62번길 33,다세대,37.24243355,127.0687739,1,23,2176,21,2,40,0,,0,,0,,0,,0,,3,97,6,23.0,0,,0.0,,13.0,3.0,서그내로62번길 35,1495.0,Unknown,11,28,38,44,131,101,15.0,0,2
20.705,1150.0,64.4,2014.0,서그내로 30,다세대,37.24457167,127.0738645,3,14,1704,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,14.0,4.0,서그내로 30,2320.909090909091,동향,14,45,37,82,133,102,12.0,1,4
21.715,1150.0,64.4,2014.0,서그내로 30,다세대,37.24457167,127.0738645,3,14,1704,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,14.0,4.0,서그내로 30,2320.909090909091,동향,14,45,37,82,133,102,12.0,1,4
47.7,17825.0,0.0,2015.0,서그내로 43,다세대,37.24308982,127.074183,3,14,1661,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,10.0,0.0,서그내로 43,17825.0,서향,11,44,27,85,113,103,13.0,2,2
21.715,1150.0,64.4,2014.0,서그내로 30,다세대,37.24457167,127.0738645,3,14,1704,13,2,54,0,,0,,0,,0,,1,189.0,3,65,7,39.0,0,,0.0,,14.0,4.0,서그내로 30,2320.909090909091,동향,14,45,37,82,133,102,12.0,1,4
