Area_m2,Deposit,Monthly_Rent,School_Walk_Min,Transit_Min,Conv_Count,Subway_Count,Bank_Count,Hosp_Count,Pharm_Count,School_Count_Near,Cafe_Count,Rest_Count,Mart_Count,Parking_Count,Price_Hwansan,House_Age,House_Type_Multi_Family,House_Type_Multi_Unit,House_Type_Row_House,House_Type_Single_House,House_Type_Villa,Rent_Type_Jeonse,Rent_Type_Monthly,Orientation_East,Orientation_South,Orientation_West
14.09,7140.0,0.0,14,13,2,0,0,0,0,1,3,7,0,0.0,7140.0,13.0,False,False,False,False,True,True,False,False,False,True
15.09,306.0,40.8,14,13,2,0,0,0,0,1,3,7,0,0.0,4386.0,14.0,False,False,False,False,True,False,True,False,False,True
38.85,13260.0,0.0,23,21,2,0,0,0,0,0,3,6,0,0.0,13260.0,11.0,False,False,False,False,True,True,False,False,False,False
21.21,10000.0,33.0,14,13,2,0,0,0,0,1,3,7,0,0.0,13300.0,12.0,False,False,False,False,True,False,True,True,False,False
14.09,6800.0,0.0,14,13,2,0,0,0,0,1,3,7,0,0.0,6800.0,13.0,False,False,False,False,True,True,False,False,False,True
14.61,6500.0,0.0,14,13,2,0,0,0,0,1,3,7,0,0.0,6500.0,13.0,False,False,False,False,True,True,False,False,False,True
45.67,21900.0,0.0,19,20,1,0,0,0,0,0,1,3,0,0.0,21900.0,6.0,False,False,False,False,True,True,False,False,False,False
45.67,21900.0,0.0,19,20,1,0,0,0,0,0,1,3,0,0.0,21900.0,6.0,False,False,False,False,True,True,False,False,False,False
25.97,10500.0,0.0,14,13,2,0,0,0,0,1,3,7,0,0.0,10500.0,11.0,False,False,False,False,True,True,False,False,False,True
48.26,1000.0,80.0,19,20,1,0,0,0,0,0,1,3,0,0.0,9000.0,6.0,False,False,False,False,True,False,True,False,False,False
44.8,18000.0,0.0,19,20,1,0,0,0,0,0,1,3,0,0.0,18000.0,6.0,False,False,False,False,True,True,False,False,False,False
14.09,6500.0,0.0,14,13,2,0,0,0,0,1,3,7,0,0.0,6500.0,13.0,False,False,False,False,True,True,False,False,False,True
36.06,353.0,31.0,23,21,2,0,0,0,0,0,3,6,0,0.0,3453.0,7.0,False,False,False,False,True,False,True,True,False,False
47.51,18000.0,0.0,19,20,1,0,0,0,0,0,1,3,0,0.0,18000.0,6.0,False,False,False,False,True,True,False,False,False,False
