,Area_m2,School_Walk_Min,Subway_Count,School_Count_Near,Mart_Count,Price_Hwansan,House_Age,Life_Infra_Score,Pharm_Parking_Sum,House_Type_Multi_Family,House_Type_Multi_Unit,House_Type_Row_House,House_Type_Single_House,House_Type_Villa,Rent_Type_Jeonse,Orientation_East,Orientation_South,Orientation_West
83,18.59,23,0,0,0,10350.0,2.0,11,0.0,False,True,False,False,False,False,False,False,False
84,17.5,14,0,1,0,7360.0,11.0,12,0.0,False,True,False,False,False,False,False,False,True
85,14.61,14,0,1,0,5175.0,12.0,12,0.0,False,True,False,False,False,False,True,False,False
86,38.85,19,0,0,0,18400.0,3.0,5,0.0,False,True,False,False,False,False,False,False,False
87,23.19,23,0,0,0,5635.0,11.0,11,0.0,False,True,False,False,False,False,False,False,False
88,20.705,14,0,1,0,7590.000000000001,12.0,12,0.0,False,True,False,False,False,False,True,False,False
89,21.715,14,0,1,0,7590.000000000001,12.0,12,0.0,False,True,False,False,False,False,True,False,False
90,47.7,14,0,1,0,17825.0,11.0,12,0.0,False,True,False,False,False,True,False,False,True
91,21.715,14,0,1,0,7590.000000000001,12.0,12,0.0,False,True,False,False,False,False,True,False,False
92,37.43,14,0,1,0,16445.0,3.0,12,0.0,False,True,False,False,False,False,False,False,True
93,21.48,23,0,0,0,4255.0,28.0,11,0.0,False,True,False,False,False,False,False,False,False
94,21.21,14,0,1,0,7590.000000000001,12.0,12,0.0,False,True,False,False,False,False,True,False,False
95,14.51,14,0,2,1,11040.0,4.0,33,2.0,False,False,True,False,False,False,False,False,False
96,42.25,17,0,1,0,14375.0,12.0,25,0.0,False,True,False,False,False,True,False,False,False
97,42.25,17,0,1,0,14375.0,12.0,25,0.0,False,True,False,False,False,True,False,False,False
98,20.64,19,0,0,0,12650.0,3.0,5,0.0,False,True,False,False,False,False,False,False,False
99,17.0,23,0,0,0,5520.0,11.0,11,0.0,False,True,False,False,False,False,True,False,False
100,13.0,14,0,1,0,4945.0,14.0,12,0.0,False,True,False,False,False,False,False,False,True
101,20.64,19,0,0,0,12650.0,3.0,5,0.0,False,True,False,False,False,False,False,False,False
102,20.64,19,0,0,0,12650.0,3.0,5,0.0,False,True,False,False,False,False,False,False,False
103,47.475,17,0,1,0,19550.0,13.0,25,0.0,False,True,False,False,False,True,False,False,False
104,37.43,14,0,1,0,14720.0,3.0,12,0.0,False,True,False,False,False,False,False,False,True
105,50.89,14,0,1,0,19550.0,11.0,12,0.0,False,True,False,False,False,True,False,False,True
106,50.89,14,0,1,0,19550.0,11.0,12,0.0,False,True,False,False,False,True,False,False,True
107,15.39,19,0,0,0,6210.0,8.0,5,0.0,False,True,False,False,False,False,False,False,False
108,23.21,19,0,0,0,12190.0,3.0,5,0.0,False,True,False,False,False,False,False,False,False
109,19.7272,17,0,1,0,17250.0,6.0,25,0.0,False,True,False,False,False,True,False,False,False
110,21.715,14,0,1,0,7590.000000000001,12.0,12,0.0,False,True,False,False,False,False,True,False,False
111,20.65,14,0,1,0,9200.0,11.0,12,0.0,False,True,False,False,False,True,False,False,True
112,19.3984,17,0,1,0,11500.0,6.0,25,0.0,False,True,False,False,False,False,False,False,False
113,19.3984,17,0,1,0,14950.0,6.0,25,0.0,False,True,False,False,False,True,False,False,False
114,19.3984,17,0,1,0,14950.0,6.0,25,0.0,False,True,False,False,False,True,False,False,False
115,19.3984,17,0,1,0,10350.0,6.0,25,0.0,False,True,False,False,False,False,False,False,False
116,14.09,14,0,1,0,6900.0,13.0,12,0.0,False,True,False,False,False,False,False,False,True
117,16.39,14,0,2,1,10695.0,4.0,33,2.0,False,False,True,False,False,False,False,False,False
118,44.52,17,0,1,0,15065.0,4.0,25,0.0,False,True,False,False,False,False,False,False,False
119,44.52,17,0,1,0,15065.0,4.0,25,0.0,False,True,False,False,False,False,False,False,False
120,30.3,17,0,1,0,18360.0,6.0,25,0.0,False,False,False,False,True,True,False,False,False
121,35.09,23,0,0,0,5349.9,7.0,11,0.0,False,False,False,False,True,False,True,False,False
122,25.19,14,0,1,0,6120.0,11.0,12,0.0,False,False,False,False,True,False,False,False,True
123,13.0,14,0,1,0,4386.0,14.0,12,0.0,False,False,False,False,True,False,False,False,True
124,17.5,14,0,1,0,5814.0,11.0,12,0.0,False,False,False,False,True,False,False,False,True
125,21.43,14,0,1,0,5304.0,11.0,12,0.0,False,False,False,False,True,False,False,False,True
126,14.09,14,0,1,0,7140.0,13.0,12,0.0,False,False,False,False,True,True,False,False,True
127,14.09,14,0,1,0,6630.0,13.0,12,0.0,False,False,False,False,True,True,False,False,True
128,14.09,14,0,1,0,7140.0,13.0,12,0.0,False,False,False,False,True,True,False,False,True
129,15.09,14,0,1,0,4386.0,14.0,12,0.0,False,False,False,False,True,False,False,False,True
130,38.85,23,0,0,0,13260.0,11.0,11,0.0,False,False,False,False,True,True,False,False,False
131,21.21,14,0,1,0,13300.0,12.0,12,0.0,False,False,False,False,True,False,True,False,False
132,14.09,14,0,1,0,6800.0,13.0,12,0.0,False,False,False,False,True,True,False,False,True
133,14.61,14,0,1,0,6500.0,13.0,12,0.0,False,False,False,False,True,True,False,False,True
134,45.67,19,0,0,0,21900.0,6.0,5,0.0,False,False,False,False,True,True,False,False,False
135,45.67,19,0,0,0,21900.0,6.0,5,0.0,False,False,False,False,True,True,False,False,False
136,25.97,14,0,1,0,10500.0,11.0,12,0.0,False,False,False,False,True,True,False,False,True
137,48.26,19,0,0,0,9000.0,6.0,5,0.0,False,False,False,False,True,False,False,False,False
138,44.8,19,0,0,0,18000.0,6.0,5,0.0,False,False,False,False,True,True,False,False,False
139,14.09,14,0,1,0,6500.0,13.0,12,0.0,False,False,False,False,True,True,False,False,True
140,36.06,23,0,0,0,3453.0,7.0,11,0.0,False,False,False,False,True,False,True,False,False
141,47.51,19,0,0,0,18000.0,6.0,5,0.0,False,False,False,False,True,True,False,False,False
142,38.98,19,0,0,0,17000.0,6.0,5,0.0,False,False,False,False,True,True,False,False,False
143,38.98,19,0,0,0,9500.0,6.0,5,0.0,False,False,False,False,True,False,False,False,False
144,42.1,19,0,0,0,8000.0,6.0,5,0.0,False,False,False,False,True,False,False,False,False
145,48.26,19,0,0,0,20000.0,6.0,5,0.0,False,False,False,False,True,True,False,False,False
146,38.98,19,0,0,0,17000.0,6.0,5,0.0,False,False,False,False,True,True,False,False,False
147,48.26,19,0,0,0,20000.0,6.0,5,0.0,False,False,False,False,True,True,False,False,False
148,17.5,14,0,1,0,8900.0,11.0,12,0.0,False,False,False,False,True,True,False,False,True
149,22.06,14,0,1,0,10000.0,12.0,12,0.0,False,False,False,False,True,True,True,False,False
150,47.475,17,0,1,0,14500.0,13.0,25,0.0,False,False,False,False,True,True,False,False,False
151,15.6,19,0,0,0,5300.0,8.0,5,0.0,False,False,False,False,True,False,False,False,False
152,13.47,17,0,1,0,3300.0,14.0,25,0.0,False,False,False,False,True,False,True,False,False
153,12.4,14,0,1,0,6000.0,12.0,12,0.0,False,False,False,False,True,True,True,False,False
154,14.09,14,0,1,0,7000.0,13.0,12,0.0,False,False,False,False,True,True,False,False,True
155,25.19,14,0,1,0,6000.0,11.0,12,0.0,False,False,False,False,True,False,False,False,True
156,20.8,17,0,1,0,13000.0,6.0,25,0.0,False,False,False,False,True,True,False,False,False
157,25.01,17,0,1,0,15500.0,6.0,25,0.0,False,False,False,False,True,True,False,False,False
158,16.03,14,0,1,0,7000.0,13.0,12,0.0,False,False,False,False,True,True,False,False,True
159,18.8,17,0,1,0,12000.0,6.0,25,0.0,False,False,False,False,True,True,False,False,False
160,14.61,14,0,1,0,7000.0,13.0,12,0.0,False,False,False,False,True,True,False,False,True
161,18.8,17,0,1,0,12000.0,6.0,25,0.0,False,False,False,False,True,True,False,False,False
162,32.37,19,0,0,0,3000.0,8.0,5,0.0,False,False,False,False,True,True,False,False,False
163,18.01,17,0,1,0,10000.0,6.0,25,0.0,False,False,False,False,True,True,False,False,False
164,20.14,17,0,1,0,12000.0,6.0,25,0.0,False,False,False,False,True,True,False,False,False
